date,rainfall_mm,temp_c
2016-01-01,0.0,22.7
2016-01-02,0.0,22.65
2016-01-03,0.0,22.87
2016-01-04,0.0,23.75
2016-01-05,0.0,24.75
2016-01-06,0.0,25.53
2016-01-07,0.0,25.85
2016-01-08,0.2,25.71
2016-01-09,1.29,26.32
2016-01-10,0.76,26.1
2016-01-11,0.0,25.78
2016-01-12,0.0,26.06
2016-01-13,0.0,25.12
2016-01-14,0.0,25.04
2016-01-15,0.0,25.08
2016-01-16,0.28,25.92
2016-01-17,1.01,26.44
2016-01-18,0.77,27.22
2016-01-19,2.75,26.06
2016-01-20,0.1,26.05
2016-01-21,0.0,25.4
2016-01-22,0.0,24.95
2016-01-23,0.0,25.43
2016-01-24,0.0,24.18
2016-01-25,0.0,23.53
2016-01-26,0.0,23.07
2016-01-27,0.0,23.27
2016-01-28,0.0,23.94
2016-01-29,0.0,23.88
2016-01-30,0.0,24.23
2016-01-31,0.0,24.58
2016-02-01,0.0,24.26
2016-02-02,0.0,25.56
2016-02-03,0.0,25.83
2016-02-04,0.0,27.35
2016-02-05,0.0,27.4
2016-02-06,0.0,26.92
2016-02-07,0.0,26.23
2016-02-08,0.0,26.08
2016-02-09,0.0,25.4
2016-02-10,0.0,25.06
2016-02-11,0.0,24.97
2016-02-12,0.0,26.14
2016-02-13,0.0,26.08
2016-02-14,0.0,26.65
2016-02-15,0.0,27.12
2016-02-16,0.0,28.06
2016-02-17,0.0,28.54
2016-02-18,0.0,28.51
2016-02-19,0.0,29.0
2016-02-20,0.0,29.32
2016-02-21,0.0,29.67
2016-02-22,0.0,29.81
2016-02-23,0.0,29.18
2016-02-24,0.0,29.4
2016-02-25,0.03,28.16
2016-02-26,0.02,28.76
2016-02-27,0.03,28.6
2016-02-28,0.05,29.03
2016-02-29,0.19,28.34
2016-03-01,0.1,28.42
2016-03-02,0.21,29.73
2016-03-03,0.18,29.34
2016-03-04,0.41,29.67
2016-03-05,1.4,28.74
2016-03-06,0.43,28.38
2016-03-07,2.02,28.95
2016-03-08,3.41,27.06
2016-03-09,1.73,27.63
2016-03-10,2.41,27.54
2016-03-11,1.2,27.81
2016-03-12,1.9,28.16
2016-03-13,7.53,27.18
2016-03-14,2.95,26.73
2016-03-15,1.03,29.31
2016-03-16,4.36,27.43
2016-03-17,6.21,27.5
2016-03-18,5.28,27.14
2016-03-19,1.04,27.1
2016-03-20,2.99,27.44
2016-03-21,4.55,27.28
2016-03-22,7.5,27.2
2016-03-23,12.47,26.8
2016-03-24,15.04,25.8
2016-03-25,9.27,26.29
2016-03-26,1.71,26.77
2016-03-27,0.03,26.68
2016-03-28,0.03,28.06
2016-03-29,0.07,28.58
2016-03-30,0.06,28.27
2016-03-31,0.14,27.8
2016-04-01,9.72,27.08
2016-04-02,5.54,27.17
2016-04-03,3.97,27.48
2016-04-04,4.84,27.37
2016-04-05,6.45,26.72
2016-04-06,13.17,26.41
2016-04-07,4.49,27.07
2016-04-08,3.06,27.04
2016-04-09,5.29,27.08
2016-04-10,3.65,27.01
2016-04-11,7.13,26.45
2016-04-12,1.32,26.0
2016-04-13,6.11,26.78
2016-04-14,8.73,26.59
2016-04-15,6.84,26.71
2016-04-16,1.09,26.73
2016-04-17,1.02,27.06
2016-04-18,2.74,25.7
2016-04-19,0.9,26.41
2016-04-20,1.48,26.91
2016-04-21,0.89,26.81
2016-04-22,0.61,27.15
2016-04-23,0.81,27.82
2016-04-24,2.01,27.25
2016-04-25,1.25,26.69
2016-04-26,7.28,26.43
2016-04-27,6.32,26.65
2016-04-28,6.27,25.91
2016-04-29,1.45,26.41
2016-04-30,4.48,27.11
2016-05-01,2.19,27.45
2016-05-02,2.98,26.93
2016-05-03,2.81,26.52
2016-05-04,0.95,26.68
2016-05-05,0.26,26.82
2016-05-06,5.83,26.74
2016-05-07,5.04,26.36
2016-05-08,5.42,25.48
2016-05-09,1.63,26.51
2016-05-10,1.8,26.91
2016-05-11,1.36,27.3
2016-05-12,8.21,26.11
2016-05-13,7.32,25.97
2016-05-14,4.92,25.87
2016-05-15,4.97,25.07
2016-05-16,4.61,25.9
2016-05-17,1.44,25.08
2016-05-18,1.09,26.1
2016-05-19,7.56,26.36
2016-05-20,7.39,25.83
2016-05-21,13.41,25.84
2016-05-22,28.31,24.5
2016-05-23,4.48,24.29
2016-05-24,3.78,25.2
2016-05-25,6.11,26.32
2016-05-26,7.23,25.39
2016-05-27,1.56,26.46
2016-05-28,2.9,25.33
2016-05-29,3.61,26.09
2016-05-30,3.49,25.49
2016-05-31,0.32,25.93
2016-06-01,1.41,26.13
2016-06-02,1.67,26.25
2016-06-03,0.63,25.58
2016-06-04,1.07,26.35
2016-06-05,11.54,25.33
2016-06-06,3.19,25.51
2016-06-07,2.39,24.89
2016-06-08,4.36,26.12
2016-06-09,22.69,25.46
2016-06-10,2.27,25.08
2016-06-11,1.9,24.7
2016-06-12,7.19,25.74
2016-06-13,1.84,24.81
2016-06-14,3.07,24.9
2016-06-15,20.55,23.47
2016-06-16,3.37,23.3
2016-06-17,0.99,24.64
2016-06-18,7.87,25.16
2016-06-19,27.69,24.73
2016-06-20,4.71,23.61
2016-06-21,2.67,23.42
2016-06-22,0.87,24.35
2016-06-23,1.3,24.62
2016-06-24,1.95,24.41
2016-06-25,2.26,24.21
2016-06-26,4.62,24.75
2016-06-27,20.68,24.15
2016-06-28,14.97,23.77
2016-06-29,3.35,24.57
2016-06-30,4.12,23.65
2016-07-01,1.81,24.66
2016-07-02,1.64,25.41
2016-07-03,4.04,25.01
2016-07-04,2.25,25.02
2016-07-05,3.76,24.42
2016-07-06,2.99,25.0
2016-07-07,2.81,25.11
2016-07-08,5.04,25.44
2016-07-09,4.52,24.05
2016-07-10,10.96,23.66
2016-07-11,9.2,23.84
2016-07-12,5.48,24.06
2016-07-13,3.1,23.3
2016-07-14,2.66,24.51
2016-07-15,4.91,23.75
2016-07-16,10.65,23.57
2016-07-17,7.48,23.81
2016-07-18,2.37,24.2
2016-07-19,6.64,23.54
2016-07-20,11.58,24.32
2016-07-21,8.7,24.59
2016-07-22,13.65,23.64
2016-07-23,44.63,24.07
2016-07-24,5.39,23.66
2016-07-25,9.75,23.17
2016-07-26,5.06,23.37
2016-07-27,5.96,24.0
2016-07-28,8.84,24.32
2016-07-29,10.6,24.49
2016-07-30,1.29,23.88
2016-07-31,1.49,24.31
2016-08-01,1.07,24.77
2016-08-02,1.89,24.52
2016-08-03,1.07,24.3
2016-08-04,0.72,24.37
2016-08-05,2.18,23.44
2016-08-06,7.55,23.23
2016-08-07,2.04,24.35
2016-08-08,1.8,24.52
2016-08-09,3.46,24.6
2016-08-10,2.65,24.1
2016-08-11,2.96,24.51
2016-08-12,3.2,24.16
2016-08-13,3.1,24.59
2016-08-14,11.11,24.04
2016-08-15,7.41,24.35
2016-08-16,5.22,24.12
2016-08-17,4.12,23.23
2016-08-18,4.29,24.42
2016-08-19,3.62,24.93
2016-08-20,9.82,24.42
2016-08-21,4.63,24.76
2016-08-22,4.93,24.78
2016-08-23,8.62,24.53
2016-08-24,4.5,24.24
2016-08-25,3.72,24.02
2016-08-26,3.59,24.08
2016-08-27,11.94,23.36
2016-08-28,2.35,23.85
2016-08-29,3.89,24.35
2016-08-30,7.97,24.23
2016-08-31,4.66,24.33
2016-09-01,13.07,23.85
2016-09-02,4.59,23.96
2016-09-03,8.83,24.43
2016-09-04,9.7,24.87
2016-09-05,18.96,24.25
2016-09-06,10.55,23.94
2016-09-07,3.76,24.34
2016-09-08,8.47,25.01
2016-09-09,7.99,24.35
2016-09-10,26.13,24.04
2016-09-11,4.7,24.28
2016-09-12,4.67,24.06
2016-09-13,10.19,24.31
2016-09-14,13.75,23.3
2016-09-15,3.94,24.21
2016-09-16,4.84,24.51
2016-09-17,5.6,24.57
2016-09-18,6.98,24.25
2016-09-19,21.7,24.2
2016-09-20,40.11,23.86
2016-09-21,12.38,24.88
2016-09-22,26.54,24.23
2016-09-23,15.13,23.71
2016-09-24,35.39,24.25
2016-09-25,7.79,24.3
2016-09-26,3.84,24.84
2016-09-27,16.92,24.16
2016-09-28,6.56,25.07
2016-09-29,7.75,25.88
2016-09-30,18.94,25.32
2016-10-01,12.34,24.69
2016-10-02,4.78,23.73
2016-10-03,1.89,24.72
2016-10-04,10.46,25.34
2016-10-05,9.63,25.54
2016-10-06,7.37,25.26
2016-10-07,15.63,25.52
2016-10-08,12.65,24.84
2016-10-09,2.12,24.24
2016-10-10,10.97,24.85
2016-10-11,13.55,24.65
2016-10-12,5.36,24.84
2016-10-13,15.72,25.4
2016-10-14,14.12,25.37
2016-10-15,4.93,25.57
2016-10-16,13.83,25.54
2016-10-17,6.57,25.65
2016-10-18,18.5,25.4
2016-10-19,4.85,24.98
2016-10-20,3.76,25.23
2016-10-21,26.22,24.53
2016-10-22,8.6,24.52
2016-10-23,0.86,25.17
2016-10-24,1.38,26.3
2016-10-25,3.1,26.27
2016-10-26,3.05,26.02
2016-10-27,2.02,26.28
2016-10-28,0.65,26.15
2016-10-29,0.81,25.96
2016-10-30,0.86,24.18
2016-10-31,0.6,25.05
2016-11-01,1.03,24.79
2016-11-02,0.28,24.67
2016-11-03,0.16,25.39
2016-11-04,0.11,24.96
2016-11-05,0.1,25.73
2016-11-06,0.05,25.08
2016-11-07,0.59,25.36
2016-11-08,1.06,25.72
2016-11-09,0.33,25.31
2016-11-10,0.49,24.69
2016-11-11,2.43,25.04
2016-11-12,0.0,25.33
2016-11-13,0.0,25.86
2016-11-14,0.0,24.81
2016-11-15,0.0,25.4
2016-11-16,0.0,25.94
2016-11-17,0.14,25.32
2016-11-18,0.41,25.64
2016-11-19,0.47,26.06
2016-11-20,0.21,26.61
2016-11-21,0.33,25.08
2016-11-22,0.06,25.09
2016-11-23,0.2,25.83
2016-11-24,0.14,26.57
2016-11-25,0.11,26.89
2016-11-26,0.14,25.78
2016-11-27,0.66,25.56
2016-11-28,0.42,25.61
2016-11-29,0.25,25.43
2016-11-30,0.4,26.4
2016-12-01,0.24,26.16
2016-12-02,0.0,26.07
2016-12-03,0.0,24.97
2016-12-04,0.0,24.76
2016-12-05,0.0,24.53
2016-12-06,0.0,24.33
2016-12-07,0.12,24.86
2016-12-08,0.34,24.13
2016-12-09,0.23,24.81
2016-12-10,0.48,25.43
2016-12-11,1.63,25.9
2016-12-12,0.37,25.02
2016-12-13,0.07,25.2
2016-12-14,0.08,25.54
2016-12-15,0.21,25.2
2016-12-16,0.16,25.82
